"Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"Chicago Bears (CHI)","50","27","9","17","6","1","0","16","191.0","11.9","98.9%"
"Los Angeles Rams (LAR)","41","18","12","12","4","2","0","16","147.0","9.2","97.2%"
"Houston Texans (HOU)","43","15","14","19","4","0","0","16","144.0","9.0","71.1%"
"New England Patriots (NE)","30","18","10","12","2","0","2","16","135.0","8.4","62.0%"
"Baltimore Ravens (BAL)","43","12","5","8","3","0","1","16","126.0","7.9","53.9%"
"Minnesota Vikings (MIN)","50","12","8","7","3","0","0","16","124.0","7.8","95.1%"
"Kansas City Chiefs (KC)","53","15","12","21","4","0","1","16","123.0","7.7","10.4%"
"Denver Broncos (DEN)","44","17","10","13","2","0","0","16","122.0","7.6","66.6%"
"Seattle Seahawks (SEA)","43","12","14","17","2","0","0","16","122.0","7.6","5.5%"
"Washington Redskins (WAS)","46","15","11","18","1","0","0","16","120.0","7.5","2.8%"
"Indianapolis Colts (IND)","38","15","11","15","0","0","0","16","116.0","7.3","46.8%"
"Tennessee Titans (TEN)","39","11","6","10","2","0","1","16","113.0","7.1","18.4%"
"Pittsburgh Steelers (PIT)","52","8","7","11","3","2","0","16","110.0","6.9","16.5%"
"New Orleans Saints (NO)","49","12","12","19","1","0","0","16","108.0","6.8","89.4%"
"Buffalo Bills (BUF)","36","16","11","18","0","1","0","16","107.0","6.7","91.0%"
"Jacksonville Jaguars (JAC)","37","11","6","6","2","2","1","16","107.0","6.7","97.1%"
"Los Angeles Chargers (LAC)","38","13","7","5","2","0","1","16","107.0","6.7","79.1%"
"Miami Dolphins (MIA)","31","21","7","10","3","0","2","16","104.0","6.5","1.0%"
"Arizona Cardinals (ARI)","49","7","9","13","2","0","0","16","100.0","6.3","1.7%"
"Cleveland Browns (CLE)","37","17","14","16","0","1","0","16","98.0","6.1","40.2%"
"Dallas Cowboys (DAL)","39","9","11","14","1","0","0","16","98.0","6.1","28.9%"
"Detroit Lions (DET)","43","7","7","9","2","0","0","16","98.0","6.1","1.9%"
"Philadelphia Eagles (PHI)","44","10","7","12","0","0","0","16","97.0","6.1","25.0%"
"Green Bay Packers (GB)","44","7","8","8","1","0","0","16","92.0","5.8","4.3%"
"New York Jets (NYJ)","39","13","7","12","3","0","2","16","91.0","5.7","4.8%"
"Carolina Panthers (CAR)","35","13","9","13","1","0","0","16","88.0","5.5","3.8%"
"New York Giants (NYG)","30","16","5","9","3","0","0","16","84.0","5.3","0.9%"
"Cincinnati Bengals (CIN)","33","12","6","9","5","0","0","16","83.0","5.2","0.6%"
"Atlanta Falcons (ATL)","37","15","4","8","2","0","0","16","77.0","4.8","1.6%"
"Tampa Bay Buccaneers (TB)","38","9","8","11","1","0","0","16","68.0","4.3","0.6%"
"San Francisco 49ers (SF)","37","2","5","8","1","1","1","16","53.0","3.3","3.4%"
"Oakland Raiders (OAK)","13","14","3","5","1","0","1","16","39.0","2.4","1.8%"
""
""