"Rank","Player","Team","Points","Games","Avg"
"1","Russell Wilson","SEA","347.8","16","21.7"
"2","Cam Newton","CAR","299.5","16","18.7"
"3","Tom Brady","NE","295.9","16","18.5"
"4","Alex Smith","WAS","295.1","15","19.7"
"5","Carson Wentz","PHI","283.7","13","21.8"
"6","Kirk Cousins","MIN","277.6","16","17.4"
"7","Matthew Stafford","DET","273.8","16","17.1"
"8","Philip Rivers","LAC","270.5","16","16.9"
"9","Drew Brees","NO","262.6","16","16.4"
"10","Dak Prescott","DAL","260.8","16","16.3"
"11","Ben Roethlisberger","PIT","260.6","15","17.4"
"12","Jared Goff","LAR","255.5","15","17.0"
"13","Blake Bortles","LAR","249.7","16","15.6"
"14","Case Keenum","WAS","238.1","15","15.9"
"15","Matt Ryan","ATL","228.1","16","14.3"
"16","Tyrod Taylor","LAC","222.6","15","14.8"
"17","Andy Dalton","CIN","210.7","16","13.2"
"18","Marcus Mariota","TEN","210.4","15","14.0"
"19","Derek Carr","OAK","206.3","15","13.8"
"20","Jacoby Brissett","IND","206.0","16","12.9"
"21","Josh McCown","FA","205.6","13","15.8"
"22","Jameis Winston","TB","201.8","13","15.5"
"23","Eli Manning","NYG","187.3","15","12.5"
"24","Joe Flacco","DEN","184.9","16","11.6"
"25","DeShone Kizer","GB","175.9","15","11.7"
"26","Deshaun Watson","HOU","168.8","7","24.1"
"27","Jay Cutler","FA","157.7","14","11.3"
"28","Mitch Trubisky","CHI","134.6","12","11.2"
"29","Aaron Rodgers","GB","129.5","7","18.5"
"30","Trevor Siemian","NYJ","126.2","11","11.5"
"31","Brett Hundley","ARI","123.6","11","11.2"
"32","Carson Palmer","FA","102.4","7","14.6"
"33","C.J. Beathard","SF","88.8","6","14.8"
"34","Jimmy Garoppolo","SF","86.9","6","14.5"
"35","Ryan Fitzpatrick","MIA","73.7","6","12.3"
"36","Brock Osweiler","FA","68.1","6","11.4"
"37","Brian Hoyer","NE","64.0","10","6.4"
"38","Blaine Gabbert","TB","61.6","5","12.3"
"39","Tom Savage","DET","50.7","8","6.3"
"40","Drew Stanton","CLE","50.3","5","10.1"
"41","Matt Moore","FA","41.3","4","10.3"
"42","T.J. Yates","FA","34.0","4","8.5"
"43","Nick Foles","JAC","33.8","7","4.8"
"43","Kevin Hogan","DEN","33.8","4","8.5"
"44","Mike Glennon","OAK","33.6","4","8.4"
"45","Sam Bradford","FA","26.9","2","13.5"
"46","Bryce Petty","FA","25.4","4","6.4"
"47","David Fales","DET","19.4","2","9.7"
"48","Paxton Lynch","SEA","15.1","2","7.6"
"49","EJ Manuel","FA","14.1","2","7.1"
"50","Patrick Mahomes","KC","10.4","1","10.4"
"50","Nathan Peterman","OAK","10.4","4","2.6"
"51","Ryan Mallett","FA","9.9","2","5.0"
"52","Geno Smith","SEA","9.7","2","4.9"
"53","Landry Jones","FA","8.6","3","2.9"
"54","Nate Sudfeld","PHI","7.6","1","7.6"
"55","Sean Mannion","MIN","5.3","5","1.1"
"56","Joe Webb","HOU","4.8","8","0.6"
"57","Cody Kessler","PHI","2.9","3","1.0"
"58","AJ McCarron","HOU","2.7","2","1.4"
"59","Matt Cassel","FA","2.4","2","1.2"
"60","Cooper Rush","DAL","1.4","2","0.7"
"61","Scott Tolzien","FA","1.3","1","1.3"
"62","Taylor Heinicke","CAR","0.6","1","0.6"
"63","Derek Anderson","FA","0.5","3","0.2"
"64","Joe Callahan","FA","0.4","1","0.4"
"65","Taysom Hill","NO","0.0","3","0.0"
"66","Austin Davis","FA","-0.1","1","-0.1"
"67","Chase Daniel","CHI","-0.2","1","-0.2"
"68","Chad Henne","KC","-0.5","2","-0.3"
"69","Jake Rudock","MIA","-1.0","2","-0.5"
"70","Kellen Clemens","FA","-1.1","3","-0.4"
"71","Tyler Bray","CHI","-2.0","1","-2.0"
"72","Teddy Bridgewater","NO","-2.3","1","-2.3"
""
""